"Hommes" "Femmes"
"1" 180 175
"2" 172 163
"3" 182 170
"4" 178 150
"5" 170 178
"6" 168 174
"7" 179 177
"8" 177 154
"9" 195 167
"10" 167 167
"11" 170 165
"12" 180 162
"13" 162 179
"14" 175 141
"15" 172 184
"16" 179 162
"17" 189 161
"18" 165 165
"19" 181 174
"20" 176 148
"21" 164 165
"22" 185 164
"23" 167 158
"24" 169 173
"25" 160 159
"26" 173 167
"27" 169 166
"28" 194 176
"29" 163 167
"30" 191 160
"31" 183 171
"32" 159 166
"33" 169 163
"34" 182 167
"35" 182 179
"36" 175 169
"37" 171 175
"38" 187 164
